"","study","pat_con","id","trial","reward","pun","choices","fullid"
"1",1,0,1,1,1,0,2,1
"2",1,0,1,2,0,1,2,1
"3",1,0,1,3,1,0,1,1
"4",1,0,1,4,1,0,2,1
"5",1,0,1,5,0,1,1,1
"6",1,0,1,6,1,0,1,1
"7",1,0,1,7,1,0,1,1
"8",1,0,1,8,0,1,2,1
"9",1,0,1,9,1,0,1,1
"10",1,0,1,10,1,0,2,1
"11",1,0,1,11,1,0,1,1
"12",1,0,1,12,1,0,2,1
"13",1,0,1,13,1,0,1,1
"14",1,0,1,14,1,0,1,1
"15",1,0,1,15,1,0,2,1
"16",1,0,1,16,1,0,2,1
"17",1,0,1,17,0,1,2,1
"18",1,0,1,18,0,1,1,1
"19",1,0,1,19,0,1,1,1
"20",1,0,1,20,1,0,2,1
"21",1,0,2,1,1,0,1,2
"22",1,0,2,2,0,1,1,2
"23",1,0,2,3,1,0,2,2
"24",1,0,2,4,1,0,2,2
"25",1,0,2,5,0,1,1,2
"26",1,0,2,6,1,0,2,2
"27",1,0,2,7,1,0,2,2
"28",1,0,2,8,0,1,1,2
"29",1,0,2,9,1,0,1,2
"30",1,0,2,10,1,0,1,2
"31",1,0,2,11,1,0,1,2
"32",1,0,2,12,1,0,1,2
"33",1,0,2,13,1,0,1,2
"34",1,0,2,14,1,0,1,2
"35",1,0,2,15,1,0,1,2
"36",1,0,2,16,1,0,1,2
"37",1,0,2,17,0,1,1,2
"38",1,0,2,18,0,1,2,2
"39",1,0,2,19,0,1,2,2
"40",1,0,2,20,1,0,2,2
"41",1,0,3,1,1,0,2,3
"42",1,0,3,2,0,1,1,3
"43",1,0,3,3,1,0,1,3
"44",1,0,3,4,1,0,1,3
"45",1,0,3,5,0,1,2,3
"46",1,0,3,6,1,0,1,3
"47",1,0,3,7,1,0,1,3
"48",1,0,3,8,0,1,2,3
"49",1,0,3,9,1,0,2,3
"50",1,0,3,10,1,0,1,3
"51",1,0,3,11,1,0,2,3
"52",1,0,3,12,1,0,1,3
"53",1,0,3,13,1,0,1,3
"54",1,0,3,14,1,0,1,3
"55",1,0,3,15,1,0,1,3
"56",1,0,3,16,1,0,1,3
"57",1,0,3,17,0,1,1,3
"58",1,0,3,18,0,1,1,3
"59",1,0,3,19,0,1,1,3
"60",1,0,3,20,1,0,1,3
"61",1,0,4,1,1,0,2,4
"62",1,0,4,2,0,1,1,4
"63",1,0,4,3,1,0,2,4
"64",1,0,4,4,1,0,1,4
"65",1,0,4,5,0,1,1,4
"66",1,0,4,6,1,0,1,4
"67",1,0,4,7,1,0,1,4
"68",1,0,4,8,0,1,1,4
"69",1,0,4,9,1,0,2,4
"70",1,0,4,10,1,0,1,4
"71",1,0,4,11,1,0,1,4
"72",1,0,4,12,1,0,1,4
"73",1,0,4,13,1,0,1,4
"74",1,0,4,14,1,0,1,4
"75",1,0,4,15,1,0,1,4
"76",1,0,4,16,1,0,1,4
"77",1,0,4,17,0,1,1,4
"78",1,0,4,18,0,1,2,4
"79",1,0,4,19,0,1,2,4
"80",1,0,4,20,1,0,1,4
"81",1,0,5,1,1,0,2,5
"82",1,0,5,2,0,1,1,5
"83",1,0,5,3,1,0,1,5
"84",1,0,5,4,1,0,1,5
"85",1,0,5,5,0,1,1,5
"86",1,0,5,6,1,0,1,5
"87",1,0,5,7,1,0,1,5
"88",1,0,5,8,0,1,1,5
"89",1,0,5,9,1,0,1,5
"90",1,0,5,10,1,0,1,5
"91",1,0,5,11,1,0,1,5
"92",1,0,5,12,1,0,1,5
"93",1,0,5,13,1,0,1,5
"94",1,0,5,14,1,0,1,5
"95",1,0,5,15,1,0,1,5
"96",1,0,5,16,1,0,1,5
"97",1,0,5,17,0,1,1,5
"98",1,0,5,18,0,1,1,5
"99",1,0,5,19,0,1,1,5
"100",1,0,5,20,1,0,1,5
"101",1,0,6,1,1,0,1,6
"102",1,0,6,2,0,1,1,6
"103",1,0,6,3,1,0,1,6
"104",1,0,6,4,1,0,1,6
"105",1,0,6,5,0,1,1,6
"106",1,0,6,6,1,0,1,6
"107",1,0,6,7,1,0,1,6
"108",1,0,6,8,0,1,1,6
"109",1,0,6,9,1,0,1,6
"110",1,0,6,10,1,0,1,6
"111",1,0,6,11,1,0,1,6
"112",1,0,6,12,1,0,1,6
"113",1,0,6,13,1,0,1,6
"114",1,0,6,14,1,0,1,6
"115",1,0,6,15,1,0,1,6
"116",1,0,6,16,1,0,1,6
"117",1,0,6,17,0,1,1,6
"118",1,0,6,18,0,1,1,6
"119",1,0,6,19,0,1,1,6
"120",1,0,6,20,1,0,2,6
"121",1,0,7,1,1,0,1,7
"122",1,0,7,2,0,1,1,7
"123",1,0,7,3,1,0,2,7
"124",1,0,7,4,1,0,2,7
"125",1,0,7,5,0,1,1,7
"126",1,0,7,6,1,0,2,7
"127",1,0,7,7,1,0,2,7
"128",1,0,7,8,0,1,1,7
"129",1,0,7,9,1,0,2,7
"130",1,0,7,10,1,0,1,7
"131",1,0,7,11,1,0,1,7
"132",1,0,7,12,1,0,1,7
"133",1,0,7,13,1,0,1,7
"134",1,0,7,14,1,0,1,7
"135",1,0,7,15,1,0,1,7
"136",1,0,7,16,1,0,1,7
"137",1,0,7,17,0,1,1,7
"138",1,0,7,18,0,1,1,7
"139",1,0,7,19,0,1,1,7
"140",1,0,7,20,1,0,2,7
"141",1,0,8,1,1,0,2,8
"142",1,0,8,2,0,1,1,8
"143",1,0,8,3,1,0,2,8
"144",1,0,8,4,1,0,2,8
"145",1,0,8,5,0,1,2,8
"146",1,0,8,6,1,0,2,8
"147",1,0,8,7,1,0,2,8
"148",1,0,8,8,0,1,1,8
"149",1,0,8,9,1,0,2,8
"150",1,0,8,10,1,0,1,8
"151",1,0,8,11,1,0,2,8
"152",1,0,8,12,1,0,1,8
"153",1,0,8,13,1,0,1,8
"154",1,0,8,14,1,0,1,8
"155",1,0,8,15,1,0,1,8
"156",1,0,8,16,1,0,1,8
"157",1,0,8,17,0,1,1,8
"158",1,0,8,18,0,1,1,8
"159",1,0,8,19,0,1,1,8
"160",1,0,8,20,1,0,1,8
"161",1,0,9,1,1,0,2,9
"162",1,0,9,2,0,1,1,9
"163",1,0,9,3,1,0,1,9
"164",1,0,9,4,1,0,1,9
"165",1,0,9,5,0,1,1,9
"166",1,0,9,6,1,0,1,9
"167",1,0,9,7,1,0,2,9
"168",1,0,9,8,0,1,2,9
"169",1,0,9,9,1,0,2,9
"170",1,0,9,10,1,0,1,9
"171",1,0,9,11,1,0,1,9
"172",1,0,9,12,1,0,1,9
"173",1,0,9,13,1,0,1,9
"174",1,0,9,14,1,0,1,9
"175",1,0,9,15,1,0,1,9
"176",1,0,9,16,1,0,1,9
"177",1,0,9,17,0,1,1,9
"178",1,0,9,18,0,1,1,9
"179",1,0,9,19,0,1,2,9
"180",1,0,9,20,1,0,2,9
"181",1,0,10,1,1,0,1,10
"182",1,0,10,2,0,1,1,10
"183",1,0,10,3,1,0,2,10
"184",1,0,10,4,1,0,1,10
"185",1,0,10,5,0,1,1,10
"186",1,0,10,6,1,0,1,10
"187",1,0,10,7,1,0,1,10
"188",1,0,10,8,0,1,1,10
"189",1,0,10,9,1,0,2,10
"190",1,0,10,10,1,0,1,10
"191",1,0,10,11,1,0,1,10
"192",1,0,10,12,1,0,1,10
"193",1,0,10,13,1,0,1,10
"194",1,0,10,14,1,0,1,10
"195",1,0,10,15,1,0,1,10
"196",1,0,10,16,1,0,1,10
"197",1,0,10,17,0,1,1,10
"198",1,0,10,18,0,1,1,10
"199",1,0,10,19,0,1,1,10
"200",1,0,10,20,1,0,1,10
"201",1,0,11,1,1,0,2,11
"202",1,0,11,2,0,1,1,11
"203",1,0,11,3,1,0,1,11
"204",1,0,11,4,1,0,1,11
"205",1,0,11,5,0,1,1,11
"206",1,0,11,6,1,0,2,11
"207",1,0,11,7,1,0,1,11
"208",1,0,11,8,0,1,1,11
"209",1,0,11,9,1,0,1,11
"210",1,0,11,10,1,0,1,11
"211",1,0,11,11,1,0,1,11
"212",1,0,11,12,1,0,1,11
"213",1,0,11,13,1,0,1,11
"214",1,0,11,14,1,0,1,11
"215",1,0,11,15,1,0,1,11
"216",1,0,11,16,1,0,1,11
"217",1,0,11,17,0,1,1,11
"218",1,0,11,18,0,1,2,11
"219",1,0,11,19,0,1,2,11
"220",1,0,11,20,1,0,2,11
"221",1,0,12,1,1,0,1,12
"222",1,0,12,2,0,1,2,12
"223",1,0,12,3,1,0,1,12
"224",1,0,12,4,1,0,2,12
"225",1,0,12,5,0,1,1,12
"226",1,0,12,6,1,0,1,12
"227",1,0,12,7,1,0,1,12
"228",1,0,12,8,0,1,1,12
"229",1,0,12,9,1,0,2,12
"230",1,0,12,10,1,0,1,12
"231",1,0,12,11,1,0,1,12
"232",1,0,12,12,1,0,1,12
"233",1,0,12,13,1,0,1,12
"234",1,0,12,14,1,0,1,12
"235",1,0,12,15,1,0,1,12
"236",1,0,12,16,1,0,1,12
"237",1,0,12,17,0,1,1,12
"238",1,0,12,18,0,1,1,12
"239",1,0,12,19,0,1,2,12
"240",1,0,12,20,1,0,2,12
"241",1,0,13,1,1,0,2,13
"242",1,0,13,2,0,1,1,13
"243",1,0,13,3,1,0,2,13
"244",1,0,13,4,1,0,1,13
"245",1,0,13,5,0,1,1,13
"246",1,0,13,6,1,0,1,13
"247",1,0,13,7,1,0,1,13
"248",1,0,13,8,0,1,1,13
"249",1,0,13,9,1,0,1,13
"250",1,0,13,10,1,0,1,13
"251",1,0,13,11,1,0,1,13
"252",1,0,13,12,1,0,1,13
"253",1,0,13,13,1,0,1,13
"254",1,0,13,14,1,0,1,13
"255",1,0,13,15,1,0,1,13
"256",1,0,13,16,1,0,1,13
"257",1,0,13,17,0,1,1,13
"258",1,0,13,18,0,1,1,13
"259",1,0,13,19,0,1,1,13
"260",1,0,13,20,1,0,2,13
"261",1,0,14,1,1,0,2,14
"262",1,0,14,2,0,1,1,14
"263",1,0,14,3,1,0,1,14
"264",1,0,14,4,1,0,2,14
"265",1,0,14,5,0,1,2,14
"266",1,0,14,6,1,0,2,14
"267",1,0,14,7,1,0,2,14
"268",1,0,14,8,0,1,2,14
"269",1,0,14,9,1,0,2,14
"270",1,0,14,10,1,0,2,14
"271",1,0,14,11,1,0,2,14
"272",1,0,14,12,1,0,2,14
"273",1,0,14,13,1,0,2,14
"274",1,0,14,14,1,0,2,14
"275",1,0,14,15,1,0,2,14
"276",1,0,14,16,1,0,2,14
"277",1,0,14,17,0,1,2,14
"278",1,0,14,18,0,1,2,14
"279",1,0,14,19,0,1,2,14
"280",1,0,14,20,1,0,1,14
"281",1,0,15,1,1,0,1,15
"282",1,0,15,2,0,1,1,15
"283",1,0,15,3,1,0,2,15
"284",1,0,15,4,1,0,1,15
"285",1,0,15,5,0,1,1,15
"286",1,0,15,6,1,0,2,15
"287",1,0,15,7,1,0,1,15
"288",1,0,15,8,0,1,1,15
"289",1,0,15,9,1,0,2,15
"290",1,0,15,10,1,0,1,15
"291",1,0,15,11,1,0,1,15
"292",1,0,15,12,1,0,1,15
"293",1,0,15,13,1,0,1,15
"294",1,0,15,14,1,0,1,15
"295",1,0,15,15,1,0,1,15
"296",1,0,15,16,1,0,1,15
"297",1,0,15,17,0,1,1,15
"298",1,0,15,18,0,1,2,15
"299",1,0,15,19,0,1,2,15
"300",1,0,15,20,1,0,2,15
"301",1,0,16,1,1,0,1,16
"302",1,0,16,2,0,1,1,16
"303",1,0,16,3,1,0,1,16
"304",1,0,16,4,1,0,1,16
"305",1,0,16,5,0,1,1,16
"306",1,0,16,6,1,0,1,16
